# 1:Partition 	 2:LogE 
000000000	 -104885 	 Idem 	 1
000000001	 -103942 	 New 	 2
000000010	 -103942 	 Idem 	 3
000000011	 -103435 	 New 	 4
000000012	 -103429 	 New 	 5
000000102	 -103429 	 Idem 	 8
000000111	 -103176 	 New 	 10
000000112	 -103160 	 New 	 11
000000121	 -103160 	 Idem 	 13
000000122	 -103160 	 Idem 	 14
000000123	 -103154 	 New 	 15
000001023	 -103154 	 Idem 	 25
000001111	 -103068 	 New 	 30
000001112	 -103031 	 New 	 31
000001121	 -103031 	 Idem 	 33
000001122	 -103020 	 New 	 34
000001123	 -103014 	 New 	 35
000001213	 -103014 	 Idem 	 43
000001223	 -103014 	 Idem 	 47
000001231	 -103014 	 Idem 	 49
000001232	 -103014 	 Idem 	 50
000001233	 -103014 	 Idem 	 51
000001234	 -103009 	 New 	 52
000010234	 -103009 	 Idem 	 89
000011112	 -102993 	 New 	 105
000011121	 -102993 	 Idem 	 107
000011122	 -102962 	 New 	 108
000011123	 -102956 	 New 	 109
000011213	 -102956 	 Idem 	 117
000011223	 -102945 	 New 	 121
000011232	 -102945 	 Idem 	 124
000011233	 -102945 	 Idem 	 125
000011234	 -102939 	 New 	 126
000012134	 -102939 	 Idem 	 160
000012234	 -102939 	 Idem 	 177
000012314	 -102939 	 Idem 	 187
000012324	 -102939 	 Idem 	 192
000012334	 -102939 	 Idem 	 197
000012341	 -102939 	 Idem 	 199
000012342	 -102939 	 Idem 	 200
000012343	 -102939 	 Idem 	 201
000012344	 -102939 	 Idem 	 202
000012345	 -102934 	 New 	 203
000102345	 -102934 	 Idem 	 354
000111223	 -102925 	 New 	 423
000111232	 -102925 	 Idem 	 426
000111233	 -102925 	 Idem 	 427
000111234	 -102919 	 New 	 428
000112134	 -102919 	 Idem 	 462
000112233	 -102914 	 New 	 478
000112234	 -102908 	 New 	 479
000112324	 -102908 	 Idem 	 494
000112334	 -102908 	 Idem 	 499
000112342	 -102908 	 Idem 	 502
000112343	 -102908 	 Idem 	 503
000112344	 -102908 	 Idem 	 504
000112345	 -102902 	 New 	 505
000121345	 -102902 	 Idem 	 659
000122345	 -102902 	 Idem 	 736
000123145	 -102902 	 Idem 	 788
000123245	 -102902 	 Idem 	 814
000123345	 -102902 	 Idem 	 840
000123415	 -102902 	 Idem 	 852
000123425	 -102902 	 Idem 	 858
000123435	 -102902 	 Idem 	 864
000123445	 -102902 	 Idem 	 870
000123451	 -102902 	 Idem 	 872
000123452	 -102902 	 Idem 	 873
000123453	 -102902 	 Idem 	 874
000123454	 -102902 	 Idem 	 875
000123455	 -102902 	 Idem 	 876
000123456	 -102897 	 New 	 877
001023456	 -102897 	 Idem 	 1551
001122345	 -102892 	 New 	 2084
001123245	 -102892 	 Idem 	 2162
001123345	 -102892 	 Idem 	 2188
001123425	 -102892 	 Idem 	 2206
001123435	 -102892 	 Idem 	 2212
001123445	 -102892 	 Idem 	 2218
001123452	 -102892 	 Idem 	 2221
001123453	 -102892 	 Idem 	 2222
001123454	 -102892 	 Idem 	 2223
001123455	 -102892 	 Idem 	 2224
001123456	 -102886 	 New 	 2225
001213456	 -102886 	 Idem 	 2969
001223456	 -102886 	 Idem 	 3341
001231456	 -102886 	 Idem 	 3623
001232456	 -102886 	 Idem 	 3764
001233456	 -102886 	 Idem 	 3905
001234156	 -102886 	 Idem 	 3979
001234256	 -102886 	 Idem 	 4016
001234356	 -102886 	 Idem 	 4053
001234456	 -102886 	 Idem 	 4090
001234516	 -102886 	 Idem 	 4104
001234526	 -102886 	 Idem 	 4111
001234536	 -102886 	 Idem 	 4118
001234546	 -102886 	 Idem 	 4125
001234556	 -102886 	 Idem 	 4132
001234561	 -102886 	 Idem 	 4134
001234562	 -102886 	 Idem 	 4135
001234563	 -102886 	 Idem 	 4136
001234564	 -102886 	 Idem 	 4137
001234565	 -102886 	 Idem 	 4138
001234566	 -102886 	 Idem 	 4139
001234567	 -102880 	 New 	 4140
