# 1:Partition 	 2:LogE 
000000000	 -104885 	 Idem
000000001	 -103942 	 New
000000010	 -103942 	 Idem
000000011	 -103435 	 New
000000012	 -103429 	 New
000000102	 -103429 	 Idem
000000111	 -103176 	 New
000000112	 -103160 	 New
000000121	 -103160 	 Idem
000000122	 -103160 	 Idem
000000123	 -103154 	 New
000001023	 -103154 	 Idem
000001111	 -103068 	 New
000001112	 -103031 	 New
000001121	 -103031 	 Idem
000001122	 -103020 	 New
000001123	 -103014 	 New
000001213	 -103014 	 Idem
000001223	 -103014 	 Idem
000001231	 -103014 	 Idem
000001232	 -103014 	 Idem
000001233	 -103014 	 Idem
000001234	 -103009 	 New
000010234	 -103009 	 Idem
000011112	 -102993 	 New
000011121	 -102993 	 Idem
000011122	 -102962 	 New
000011123	 -102956 	 New
000011213	 -102956 	 Idem
000011223	 -102945 	 New
000011232	 -102945 	 Idem
000011233	 -102945 	 Idem
000011234	 -102939 	 New
000012134	 -102939 	 Idem
000012234	 -102939 	 Idem
000012314	 -102939 	 Idem
000012324	 -102939 	 Idem
000012334	 -102939 	 Idem
000012341	 -102939 	 Idem
000012342	 -102939 	 Idem
000012343	 -102939 	 Idem
000012344	 -102939 	 Idem
000012345	 -102934 	 New
000102345	 -102934 	 Idem
000111223	 -102925 	 New
000111232	 -102925 	 Idem
000111233	 -102925 	 Idem
000111234	 -102919 	 New
000112134	 -102919 	 Idem
000112233	 -102914 	 New
000112234	 -102908 	 New
000112324	 -102908 	 Idem
000112334	 -102908 	 Idem
000112342	 -102908 	 Idem
000112343	 -102908 	 Idem
000112344	 -102908 	 Idem
000112345	 -102902 	 New
000121345	 -102902 	 Idem
000122345	 -102902 	 Idem
000123145	 -102902 	 Idem
000123245	 -102902 	 Idem
000123345	 -102902 	 Idem
000123415	 -102902 	 Idem
000123425	 -102902 	 Idem
000123435	 -102902 	 Idem
000123445	 -102902 	 Idem
000123451	 -102902 	 Idem
000123452	 -102902 	 Idem
000123453	 -102902 	 Idem
000123454	 -102902 	 Idem
000123455	 -102902 	 Idem
000123456	 -102897 	 New
001023456	 -102897 	 Idem
001122345	 -102892 	 New
001123245	 -102892 	 Idem
001123345	 -102892 	 Idem
001123425	 -102892 	 Idem
001123435	 -102892 	 Idem
001123445	 -102892 	 Idem
001123452	 -102892 	 Idem
001123453	 -102892 	 Idem
001123454	 -102892 	 Idem
001123455	 -102892 	 Idem
001123456	 -102886 	 New
001213456	 -102886 	 Idem
001223456	 -102886 	 Idem
001231456	 -102886 	 Idem
001232456	 -102886 	 Idem
001233456	 -102886 	 Idem
001234156	 -102886 	 Idem
001234256	 -102886 	 Idem
001234356	 -102886 	 Idem
001234456	 -102886 	 Idem
001234516	 -102886 	 Idem
001234526	 -102886 	 Idem
001234536	 -102886 	 Idem
001234546	 -102886 	 Idem
001234556	 -102886 	 Idem
001234561	 -102886 	 Idem
001234562	 -102886 	 Idem
001234563	 -102886 	 Idem
001234564	 -102886 	 Idem
001234565	 -102886 	 Idem
001234566	 -102886 	 Idem
001234567	 -102880 	 New
